loss,accuracy,val_loss,val_accuracy
0.2327800691127777,0.18333333730697632,0.18634547293186188,0.3166666626930237
0.19054333865642548,0.28333333134651184,0.19689211249351501,0.23333333432674408
0.19458389282226562,0.25,0.20176269114017487,0.25
0.19414326548576355,0.23333333432674408,0.20689016580581665,0.21666666865348816
0.1926913559436798,0.21666666865348816,0.20640507340431213,0.23333333432674408
0.19078658521175385,0.20000000298023224,0.20459118485450745,0.15000000596046448
0.18941102921962738,0.28333333134651184,0.20297686755657196,0.23333333432674408
0.18936853110790253,0.2666666805744171,0.20036377012729645,0.23333333432674408
0.18867915868759155,0.2666666805744171,0.19661463797092438,0.23333333432674408
0.18665339052677155,0.2666666805744171,0.19396184384822845,0.21666666865348816
0.18602479994297028,0.28333333134651184,0.19029611349105835,0.21666666865348816
0.1857144683599472,0.25,0.1889457106590271,0.15000000596046448
0.18604342639446259,0.3166666626930237,0.18922513723373413,0.15000000596046448
0.18650266528129578,0.28333333134651184,0.19153179228305817,0.21666666865348816
0.1856803297996521,0.25,0.19164659082889557,0.25
0.18578964471817017,0.18333333730697632,0.19082073867321014,0.28333333134651184
0.18594907224178314,0.23333333432674408,0.1899426281452179,0.1666666716337204
0.1857864409685135,0.3166666626930237,0.19235634803771973,0.21666666865348816
0.18527580797672272,0.3333333432674408,0.19234123826026917,0.21666666865348816
0.18512330949306488,0.21666666865348816,0.19009819626808167,0.25
0.18635351955890656,0.3333333432674408,0.19031858444213867,0.20000000298023224
0.18492141366004944,0.23333333432674408,0.18821501731872559,0.15000000596046448
0.18637791275978088,0.2666666805744171,0.18670177459716797,0.3333333432674408
0.18455180525779724,0.36666667461395264,0.18798884749412537,0.28333333134651184
0.18394292891025543,0.38333332538604736,0.19055528938770294,0.21666666865348816
0.18373535573482513,0.28333333134651184,0.19042278826236725,0.15000000596046448
0.18380212783813477,0.30000001192092896,0.1894477903842926,0.18333333730697632
0.18329808115959167,0.20000000298023224,0.187473326921463,0.23333333432674408
0.18324275314807892,0.30000001192092896,0.1872320920228958,0.20000000298023224
0.18465223908424377,0.20000000298023224,0.1878098100423813,0.21666666865348816
0.18271754682064056,0.3166666626930237,0.1861831247806549,0.3333333432674408
0.18181607127189636,0.4000000059604645,0.1854393631219864,0.3166666626930237
0.1822715401649475,0.3333333432674408,0.18598029017448425,0.36666667461395264
0.18143054842948914,0.3499999940395355,0.1867644041776657,0.20000000298023224
0.18021313846111298,0.36666667461395264,0.18565914034843445,0.20000000298023224
0.18047823011875153,0.36666667461395264,0.18365158140659332,0.3333333432674408
0.17980319261550903,0.38333332538604736,0.1824389398097992,0.38333332538604736
0.1784592568874359,0.46666666865348816,0.18280865252017975,0.30000001192092896
0.1778828650712967,0.3499999940395355,0.18225106596946716,0.3166666626930237
0.17721493542194366,0.3499999940395355,0.18155616521835327,0.3333333432674408
